#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
scaffold_6:15285725-15283332  -            798 21465at71240         -            659         0 1072.3   8.9   1   2  4.4e-193  9.7e-192  638.0   2.2     1   430    22   521    22   522 0.91 -
scaffold_6:15285725-15283332  -            798 21465at71240         -            659         0 1072.3   8.9   2   2  3.3e-132  7.4e-131  436.9   0.6   430   659   547   788   538   788 0.96 -
scaffold_8:27098066-27095577  -            830 21465at71240         -            659  3.1e-117  391.9  10.6   6   7   1.8e-15     4e-14   51.1   0.0   187   291   605   710   593   716 0.84 -
scaffold_8:27098066-27095577  -            830 21465at71240         -            659  3.1e-117  391.9  10.6   7   7   2.9e-21   6.5e-20   70.3   0.0   191   304   715   828   711   830 0.98 -
scaffold_12:10924963-10923476 -            496 21465at71240         -            659  5.4e-117  391.0  15.7   1   4   1.2e-29   2.6e-28   98.0   0.2   189   358     1   170     1   173 0.99 -
scaffold_12:10924963-10923476 -            496 21465at71240         -            659  5.4e-117  391.0  15.7   2   4     5e-37   1.1e-35  122.4   0.5   187   360   104   277   103   279 0.99 -
scaffold_12:10924963-10923476 -            496 21465at71240         -            659  5.4e-117  391.0  15.7   3   4     2e-28   4.4e-27   94.0   0.1   187   320   174   307   170   312 0.97 -
scaffold_12:10924963-10923476 -            496 21465at71240         -            659  5.4e-117  391.0  15.7   4   4   5.7e-33   1.3e-31  109.0   0.8   188   374   280   466   279   482 0.95 -
scaffold_7:4190132-4188525    -            536 21465at71240         -            659  3.1e-115  385.2  19.1   1   6   4.5e-07   9.9e-06   23.4   0.0   589   639     2    52     1    52 0.89 -
scaffold_7:4190132-4188525    -            536 21465at71240         -            659  3.1e-115  385.2  19.1   2   6   9.2e-25   2.1e-23   81.8   0.1   188   307    48   167    46   167 0.99 -
scaffold_7:4190132-4188525    -            536 21465at71240         -            659  3.1e-115  385.2  19.1   3   6   8.4e-28   1.9e-26   91.9   0.2   223   367   153   297   149   300 0.97 -
scaffold_7:4190132-4188525    -            536 21465at71240         -            659  3.1e-115  385.2  19.1   4   6   6.5e-24   1.5e-22   79.0   0.2   499   631   226   359   222   364 0.94 -
scaffold_7:4190132-4188525    -            536 21465at71240         -            659  3.1e-115  385.2  19.1   5   6   3.2e-16     7e-15   53.6   0.2   223   318   293   388   290   392 0.95 -
scaffold_7:4190132-4188525    -            536 21465at71240         -            659  3.1e-115  385.2  19.1   6   6   1.2e-31   2.7e-30  104.6   0.3   189   360   364   535   361   536 0.99 -
scaffold_10:1180612-1182498   -            629 21465at71240         -            659  3.2e-115  385.2   7.0   1   6   9.7e-31   2.2e-29  101.6   0.0   187   367    21   201     5   201 0.93 -
scaffold_10:1180612-1182498   -            629 21465at71240         -            659  3.2e-115  385.2   7.0   2   6   6.6e-38   1.5e-36  125.3   0.1   188   367   127   306   125   306 0.98 -
scaffold_10:1180612-1182498   -            629 21465at71240         -            659  3.2e-115  385.2   7.0   3   6   6.5e-21   1.4e-19   69.1   0.0   534   639   271   376   270   377 0.99 -
scaffold_10:1180612-1182498   -            629 21465at71240         -            659  3.2e-115  385.2   7.0   4   6   4.3e-21   9.6e-20   69.7   0.0   539   639   416   516   416   516 0.99 -
scaffold_10:1180612-1182498   -            629 21465at71240         -            659  3.2e-115  385.2   7.0   5   6   1.3e-13   2.9e-12   45.0   0.0   566   636   513   583   512   584 0.98 -
scaffold_10:1180612-1182498   -            629 21465at71240         -            659  3.2e-115  385.2   7.0   6   6   0.00046      0.01   13.5   0.0   566   609   583   629   582   629 0.86 -
scaffold_6:27404134-27407010  -            868 21465at71240         -            659  7.1e-115  384.0  10.0   1   7   5.1e-21   1.1e-19   69.5   0.0   196   363    79   248    73   250 0.91 -
scaffold_6:27404134-27407010  -            868 21465at71240         -            659  7.1e-115  384.0  10.0   2   7   7.4e-18   1.6e-16   59.0   0.0   512   629   159   277   159   285 0.53 -
scaffold_6:27404134-27407010  -            868 21465at71240         -            659  7.1e-115  384.0  10.0   3   7   4.3e-20   9.5e-19   66.4   0.0   188   310   248   374   246   379 0.93 -
scaffold_6:27404134-27407010  -            868 21465at71240         -            659  7.1e-115  384.0  10.0   4   7   1.3e-29   2.8e-28   97.9   0.2   209   360   343   494   342   498 0.97 -
scaffold_6:27404134-27407010  -            868 21465at71240         -            659  7.1e-115  384.0  10.0   5   7   2.5e-14   5.5e-13   47.4   0.2   542   630   498   585   495   591 0.87 -
scaffold_6:27404134-27407010  -            868 21465at71240         -            659  7.1e-115  384.0  10.0   6   7   2.1e-08   4.6e-07   27.8   0.1   560   610   585   635   582   636 0.91 -
scaffold_6:27404134-27407010  -            868 21465at71240         -            659  7.1e-115  384.0  10.0   7   7   3.7e-20   8.3e-19   66.6   0.3   163   356   595   791   595   799 0.91 -
scaffold_7:4531575-4533353    -            593 21465at71240         -            659  6.6e-113  377.5  13.3   1   6   1.2e-24   2.7e-23   81.4   0.3   500   628    28   157     7   160 0.91 -
scaffold_7:4531575-4533353    -            593 21465at71240         -            659  6.6e-113  377.5  13.3   2   6     9e-23     2e-21   75.3   0.0   197   311   138   252   137   262 0.96 -
scaffold_7:4531575-4533353    -            593 21465at71240         -            659  6.6e-113  377.5  13.3   3   6   1.7e-16   3.9e-15   54.5   0.0   533   635   202   304   201   304 0.88 -
scaffold_7:4531575-4533353    -            593 21465at71240         -            659  6.6e-113  377.5  13.3   4   6   2.5e-27   5.5e-26   90.3   0.6   493   635   266   409   258   412 0.95 -
scaffold_7:4531575-4533353    -            593 21465at71240         -            659  6.6e-113  377.5  13.3   5   6   2.7e-23     6e-22   77.0   0.0   531   639   410   518   407   518 0.96 -
scaffold_7:4531575-4533353    -            593 21465at71240         -            659  6.6e-113  377.5  13.3   6   6   5.2e-13   1.2e-11   43.0   0.0   518   609   501   593   500   593 0.89 -
scaffold_6:20769184-20771283  -            700 21465at71240         -            659  8.3e-113  377.2  21.5   1   5   6.3e-18   1.4e-16   59.2   0.1   501   636     5   141     2   143 0.97 -
scaffold_6:20769184-20771283  -            700 21465at71240         -            659  8.3e-113  377.2  21.5   2   5   5.5e-23   1.2e-21   76.0   0.3   192   309   144   261   142   271 0.95 -
scaffold_6:20769184-20771283  -            700 21465at71240         -            659  8.3e-113  377.2  21.5   3   5   5.7e-28   1.3e-26   92.4   0.7   186   319   278   411   260   416 0.83 -
scaffold_6:20769184-20771283  -            700 21465at71240         -            659  8.3e-113  377.2  21.5   4   5   2.7e-23   5.9e-22   77.0   2.1   508   636   397   526   397   527 0.96 -
scaffold_6:20769184-20771283  -            700 21465at71240         -            659  8.3e-113  377.2  21.5   5   5   4.7e-29     1e-27   96.0   0.2   182   357   519   694   517   697 0.92 -
scaffold_7:4109383-4082193    -            536 21465at71240         -            659    3e-112  375.4  24.0   1   5   1.9e-29   4.2e-28   97.3   1.9   187   359    17   190     4   191 0.94 -
scaffold_7:4109383-4082193    -            536 21465at71240         -            659    3e-112  375.4  24.0   2   5   1.1e-29   2.4e-28   98.1   0.4   527   643   121   237   113   237 0.97 -
scaffold_7:4109383-4082193    -            536 21465at71240         -            659    3e-112  375.4  24.0   3   5   4.5e-27     1e-25   89.5   0.2   526   643   190   307   189   311 0.97 -
scaffold_7:4109383-4082193    -            536 21465at71240         -            659    3e-112  375.4  24.0   4   5   1.3e-32   2.9e-31  107.7   0.4   500   643   303   447   302   448 0.98 -
scaffold_7:4109383-4082193    -            536 21465at71240         -            659    3e-112  375.4  24.0   5   5   1.3e-08   2.9e-07   28.5   0.1   567   638   441   512   440   518 0.94 -
scaffold_3:32394955-32397708  -            918 21465at71240         -            659  3.8e-111  371.7  18.4   1   6   7.7e-21   1.7e-19   68.9   0.6   193   362   171   340   156   352 0.93 -
scaffold_3:32394955-32397708  -            918 21465at71240         -            659  3.8e-111  371.7  18.4   2   6   1.1e-18   2.4e-17   61.8   0.1   195   324   348   477   344   479 0.96 -
scaffold_3:32394955-32397708  -            918 21465at71240         -            659  3.8e-111  371.7  18.4   3   6   5.9e-38   1.3e-36  125.4   0.2   184   377   477   670   471   678 0.96 -
scaffold_3:32394955-32397708  -            918 21465at71240         -            659  3.8e-111  371.7  18.4   4   6   1.9e-11   4.3e-10   37.8   0.0   588   643   679   734   670   736 0.92 -
scaffold_3:32394955-32397708  -            918 21465at71240         -            659  3.8e-111  371.7  18.4   5   6   2.2e-24   4.9e-23   80.6   0.3   220   362   723   864   723   866 0.97 -
scaffold_3:32394955-32397708  -            918 21465at71240         -            659  3.8e-111  371.7  18.4   6   6   9.5e-07   2.1e-05   22.3   0.0   213   271   855   913   854   918 0.80 -
scaffold_9:5855215-5853179    -            679 21465at71240         -            659  1.9e-110  369.4  18.7   1   5   4.6e-15     1e-13   49.8   0.0   187   319    20   152    13   153 0.96 -
scaffold_9:5855215-5853179    -            679 21465at71240         -            659  1.9e-110  369.4  18.7   2   5   9.3e-12   2.1e-10   38.9   0.0   577   635   138   196   138   197 0.97 -
scaffold_9:5855215-5853179    -            679 21465at71240         -            659  1.9e-110  369.4  18.7   3   5   2.6e-36   5.8e-35  120.0   0.6   188   358   196   366   195   367 0.97 -
scaffold_9:5855215-5853179    -            679 21465at71240         -            659  1.9e-110  369.4  18.7   4   5   2.5e-36   5.5e-35  120.1   2.3   181   358   360   541   354   545 0.96 -
scaffold_9:5855215-5853179    -            679 21465at71240         -            659  1.9e-110  369.4  18.7   5   5   1.9e-24   4.3e-23   80.8   0.4   188   356   511   679   511   679 0.98 -
scaffold_7:4079948-4078338    -            537 21465at71240         -            659  7.7e-110  367.4  14.4   1   5     3e-30   6.8e-29   99.9   0.7   497   643     4   151     1   151 0.97 -
scaffold_7:4079948-4078338    -            537 21465at71240         -            659  7.7e-110  367.4  14.4   2   5   9.9e-19   2.2e-17   61.9   0.0   567   642   145   220   144   221 0.98 -
scaffold_7:4079948-4078338    -            537 21465at71240         -            659  7.7e-110  367.4  14.4   3   5   6.9e-21   1.5e-19   69.0   0.1   190   319   215   344   214   351 0.93 -
scaffold_7:4079948-4078338    -            537 21465at71240         -            659  7.7e-110  367.4  14.4   4   5   4.4e-17   9.8e-16   56.5   0.1   532   628   285   381   284   384 0.91 -
scaffold_7:4079948-4078338    -            537 21465at71240         -            659  7.7e-110  367.4  14.4   5   5     9e-36     2e-34  118.2   0.1   187   357   352   522   347   526 0.98 -
scaffold_601:8870-17790       -            635 21465at71240         -            659  1.3e-109  366.7  18.4   1   6   6.2e-19   1.4e-17   62.6   0.8   199   316     9   129     2   131 0.85 -
scaffold_601:8870-17790       -            635 21465at71240         -            659  1.3e-109  366.7  18.4   2   6   1.8e-26     4e-25   87.5   0.1   512   639   122   250   119   250 0.95 -
scaffold_601:8870-17790       -            635 21465at71240         -            659  1.3e-109  366.7  18.4   3   6   2.7e-30     6e-29  100.1   0.4   499   639   214   355   213   355 0.94 -
scaffold_601:8870-17790       -            635 21465at71240         -            659  1.3e-109  366.7  18.4   4   6   4.2e-17   9.2e-16   56.5   0.0   568   639   354   425   353   425 0.99 -
scaffold_601:8870-17790       -            635 21465at71240         -            659  1.3e-109  366.7  18.4   5   6   1.4e-11   3.1e-10   38.3   0.1   567   642   423   498   422   511 0.95 -
scaffold_601:8870-17790       -            635 21465at71240         -            659  1.3e-109  366.7  18.4   6   6   1.1e-19   2.4e-18   65.1   0.3   186   307   514   635   500   635 0.95 -
scaffold_7:2045370-2043847    -            508 21465at71240         -            659  7.9e-108  360.8  11.0   1   5   1.9e-20   4.3e-19   67.6   0.3   187   317     8   138     3   139 0.96 -
scaffold_7:2045370-2043847    -            508 21465at71240         -            659  7.9e-108  360.8  11.0   2   5   1.5e-30   3.3e-29  101.0   0.0   188   319    79   210    78   215 0.97 -
scaffold_7:2045370-2043847    -            508 21465at71240         -            659  7.9e-108  360.8  11.0   3   5   4.1e-33     9e-32  109.4   0.1   186   315   217   346   205   347 0.93 -
scaffold_7:2045370-2043847    -            508 21465at71240         -            659  7.9e-108  360.8  11.0   4   5   2.2e-29     5e-28   97.1   0.1   510   642   338   471   337   472 0.95 -
scaffold_7:2045370-2043847    -            508 21465at71240         -            659  7.9e-108  360.8  11.0   5   5   3.3e-06   7.4e-05   20.5   0.0   188   232   464   508   464   508 0.85 -
scaffold_4:23695475-23697856  -            794 21465at71240         -            659  3.9e-107  358.5   8.5   1   8   6.5e-14   1.5e-12   46.0   0.0   537   640   120   226    92   229 0.89 -
scaffold_4:23695475-23697856  -            794 21465at71240         -            659  3.9e-107  358.5   8.5   2   8     6e-23   1.3e-21   75.9   0.0   187   302   220   336   220   336 0.97 -
scaffold_4:23695475-23697856  -            794 21465at71240         -            659  3.9e-107  358.5   8.5   3   8   5.9e-25   1.3e-23   82.5   0.1   486   637   314   469   312   471 0.93 -
scaffold_4:23695475-23697856  -            794 21465at71240         -            659  3.9e-107  358.5   8.5   4   8   3.3e-11   7.4e-10   37.0   0.0   566   635   433   502   433   503 0.99 -
scaffold_4:23695475-23697856  -            794 21465at71240         -            659  3.9e-107  358.5   8.5   5   8   4.3e-11   9.5e-10   36.7   0.0   570   654   472   559   470   564 0.86 -
scaffold_4:23695475-23697856  -            794 21465at71240         -            659  3.9e-107  358.5   8.5   6   8   7.9e-09   1.8e-07   29.2   0.0   500   635   506   642   505   644 0.88 -
scaffold_4:23695475-23697856  -            794 21465at71240         -            659  3.9e-107  358.5   8.5   7   8   4.8e-09   1.1e-07   29.9   0.1   558   636   600   678   595   680 0.95 -
scaffold_4:23695475-23697856  -            794 21465at71240         -            659  3.9e-107  358.5   8.5   8   8   3.9e-23   8.7e-22   76.5   0.5   188   323   642   777   641   784 0.97 -
scaffold_7:5001764-5003545    -            594 21465at71240         -            659  1.5e-105  353.2  18.6   1   5   3.7e-16   8.2e-15   53.4   0.2   186   288    18   120     5   124 0.92 -
scaffold_7:5001764-5003545    -            594 21465at71240         -            659  1.5e-105  353.2  18.6   2   5   1.6e-25   3.5e-24   84.4   0.2   187   321   124   258   120   262 0.97 -
scaffold_7:5001764-5003545    -            594 21465at71240         -            659  1.5e-105  353.2  18.6   3   5     1e-25   2.2e-24   85.0   0.5   500   637   199   337   195   338 0.94 -
scaffold_7:5001764-5003545    -            594 21465at71240         -            659  1.5e-105  353.2  18.6   4   5   1.8e-21     4e-20   71.0   0.1   187   304   334   451   329   451 0.81 -
scaffold_7:5001764-5003545    -            594 21465at71240         -            659  1.5e-105  353.2  18.6   5   5   6.4e-31   1.4e-29  102.2   0.1   187   337   439   589   435   594 0.97 -
scaffold_6:27371409-27407016  -           1413 21465at71240         -            659  2.3e-105  352.6   9.6   1   6   2.3e-20   5.1e-19   67.3   0.0   196   360   622   788   616   790 0.89 -
scaffold_6:27371409-27407016  -           1413 21465at71240         -            659  2.3e-105  352.6   9.6   2   6   6.7e-15   1.5e-13   49.3   0.0   538   629   729   820   726   829 0.56 -
scaffold_6:27371409-27407016  -           1413 21465at71240         -            659  2.3e-105  352.6   9.6   3   6     1e-19   2.3e-18   65.1   0.0   188   309   791   916   790   921 0.93 -
scaffold_6:27371409-27407016  -           1413 21465at71240         -            659  2.3e-105  352.6   9.6   4   6   2.4e-29   5.3e-28   97.0   0.2   209   360   886  1037   885  1045 0.97 -
scaffold_6:27371409-27407016  -           1413 21465at71240         -            659  2.3e-105  352.6   9.6   5   6   2.3e-16   5.1e-15   54.1   0.5   221   325  1061  1165  1050  1166 0.93 -
scaffold_6:27371409-27407016  -           1413 21465at71240         -            659  2.3e-105  352.6   9.6   6   6   4.5e-20     1e-18   66.3   0.3   163   356  1138  1334  1137  1343 0.91 -
scaffold_6:21111369-21109600  -            590 21465at71240         -            659  1.4e-104  350.1  24.8   1   6    0.0008     0.018   12.6   0.0   242   323     5    86     3    93 0.87 -
scaffold_6:21111369-21109600  -            590 21465at71240         -            659  1.4e-104  350.1  24.8   2   6   2.1e-25   4.6e-24   84.0   0.2   486   643    46   204    44   204 0.94 -
scaffold_6:21111369-21109600  -            590 21465at71240         -            659  1.4e-104  350.1  24.8   3   6   7.2e-27   1.6e-25   88.8   0.5   188   309   161   282   160   284 0.99 -
scaffold_6:21111369-21109600  -            590 21465at71240         -            659  1.4e-104  350.1  24.8   4   6   2.1e-25   4.6e-24   84.0   0.2   190   316   268   394   266   397 0.97 -
scaffold_6:21111369-21109600  -            590 21465at71240         -            659  1.4e-104  350.1  24.8   5   6   5.5e-27   1.2e-25   89.2   1.5   512   643   387   519   385   519 0.97 -
scaffold_6:21111369-21109600  -            590 21465at71240         -            659  1.4e-104  350.1  24.8   6   6   9.9e-14   2.2e-12   45.4   0.1   568   643   514   589   513   590 0.97 -
scaffold_10:607059-605722     -            446 21465at71240         -            659  2.6e-103  345.9  10.3   1   5   1.7e-26   3.7e-25   87.6   0.1   192   321     1   130     1   134 0.91 -
scaffold_10:607059-605722     -            446 21465at71240         -            659  2.6e-103  345.9  10.3   2   5   3.7e-25   8.2e-24   83.2   0.1   534   643    71   180    69   183 0.94 -
scaffold_10:607059-605722     -            446 21465at71240         -            659  2.6e-103  345.9  10.3   3   5   5.1e-22   1.1e-20   72.8   0.1   533   640   245   352   243   354 0.82 -
scaffold_10:607059-605722     -            446 21465at71240         -            659  2.6e-103  345.9  10.3   4   5   2.9e-23   6.5e-22   76.9   0.0   531   639   278   386   276   386 0.97 -
scaffold_10:607059-605722     -            446 21465at71240         -            659  2.6e-103  345.9  10.3   5   5   7.2e-18   1.6e-16   59.1   0.2   187   285   346   444   345   446 0.95 -
scaffold_7:5645770-5644229    -            514 21465at71240         -            659    9e-103  344.1  14.8   1   5   1.3e-24   2.9e-23   81.3   0.2   483   642     9   169     2   170 0.90 -
scaffold_7:5645770-5644229    -            514 21465at71240         -            659    9e-103  344.1  14.8   2   5   5.1e-33   1.1e-31  109.1   0.1   223   367   162   306   162   307 0.99 -
scaffold_7:5645770-5644229    -            514 21465at71240         -            659    9e-103  344.1  14.8   3   5   1.8e-21   4.1e-20   70.9   0.2   531   628   303   400   301   400 0.97 -
scaffold_7:5645770-5644229    -            514 21465at71240         -            659    9e-103  344.1  14.8   4   5   8.4e-24   1.9e-22   78.7   0.2   192   309   341   458   341   463 0.97 -
scaffold_7:5645770-5644229    -            514 21465at71240         -            659    9e-103  344.1  14.8   5   5   6.5e-13   1.4e-11   42.7   0.1   187   293   406   512   405   514 0.96 -
scaffold_10:10214743-10216344 -            534 21465at71240         -            659  3.7e-102  342.0   9.9   1   4     9e-32     2e-30  105.0   0.2   187   360     2   175     1   175 0.96 -
scaffold_10:10214743-10216344 -            534 21465at71240         -            659  3.7e-102  342.0   9.9   2   4   9.3e-20   2.1e-18   65.3   0.0   222   323   142   243   138   248 0.96 -
scaffold_10:10214743-10216344 -            534 21465at71240         -            659  3.7e-102  342.0   9.9   3   4   4.7e-29     1e-27   96.0   0.1   221   366   248   395   243   396 0.94 -
scaffold_10:10214743-10216344 -            534 21465at71240         -            659  3.7e-102  342.0   9.9   4   4   2.5e-31   5.6e-30  103.5   0.4   188   362   357   531   357   533 0.96 -
scaffold_10:12021725-12020385 -            447 21465at71240         -            659  5.7e-102  341.4   6.7   1   4   1.1e-13   2.3e-12   45.3   0.0   188   607    17    94     2    95 0.55 -
scaffold_10:12021725-12020385 -            447 21465at71240         -            659  5.7e-102  341.4   6.7   2   4   1.3e-34   2.9e-33  114.4   0.1   187   358    86   257    83   260 0.98 -
scaffold_10:12021725-12020385 -            447 21465at71240         -            659  5.7e-102  341.4   6.7   3   4     6e-31   1.3e-29  102.3   0.1   188   357   157   326   155   328 0.98 -
scaffold_10:12021725-12020385 -            447 21465at71240         -            659  5.7e-102  341.4   6.7   4   4   2.3e-31   5.2e-30  103.6   0.1   187   367   261   441   258   447 0.96 -
scaffold_4:16942487-16939878  -            870 21465at71240         -            659  1.4e-101  340.1  10.8   1   6       2.3        50    1.2   0.0    25    93    29   102     8   112 0.71 -
scaffold_4:16942487-16939878  -            870 21465at71240         -            659  1.4e-101  340.1  10.8   2   6     5e-17   1.1e-15   56.3   0.1   465   635   121   295   118   296 0.92 -
scaffold_4:16942487-16939878  -            870 21465at71240         -            659  1.4e-101  340.1  10.8   3   6   4.5e-37     1e-35  122.5   0.2   187   375   294   482   289   489 0.97 -
scaffold_4:16942487-16939878  -            870 21465at71240         -            659  1.4e-101  340.1  10.8   4   6   6.4e-26   1.4e-24   85.7   0.0   193   358   475   640   473   646 0.96 -
scaffold_4:16942487-16939878  -            870 21465at71240         -            659  1.4e-101  340.1  10.8   5   6   3.3e-18   7.2e-17   60.2   0.0   501   639   656   795   645   801 0.95 -
scaffold_4:16942487-16939878  -            870 21465at71240         -            659  1.4e-101  340.1  10.8   6   6   2.8e-06   6.2e-05   20.8   0.1   204   277   795   865   793   869 0.73 -
scaffold_7:3486589-3485063    -            509 21465at71240         -            659  1.8e-101  339.8  13.2   1   4     2e-26   4.5e-25   87.3   0.1   499   643    15   161     6   161 0.94 -
scaffold_7:3486589-3485063    -            509 21465at71240         -            659  1.8e-101  339.8  13.2   2   4   4.5e-35     1e-33  115.9   1.1   501   643   158   301   158   303 0.97 -
scaffold_7:3486589-3485063    -            509 21465at71240         -            659  1.8e-101  339.8  13.2   3   4   4.9e-18   1.1e-16   59.6   0.5   532   628   295   391   295   391 0.95 -
scaffold_7:3486589-3485063    -            509 21465at71240         -            659  1.8e-101  339.8  13.2   4   4     3e-29   6.6e-28   96.7   0.1   505   639   372   507   371   509 0.94 -
scaffold_559:15112-21507      -            645 21465at71240         -            659  5.2e-101  338.2  14.0   1   4   1.2e-21   2.8e-20   71.5   0.2   136   323    24   224     1   227 0.70 -
scaffold_559:15112-21507      -            645 21465at71240         -            659  5.2e-101  338.2  14.0   2   4   2.3e-29     5e-28   97.1   0.5   180   360   221   403   213   404 0.95 -
scaffold_559:15112-21507      -            645 21465at71240         -            659  5.2e-101  338.2  14.0   3   4   1.9e-33   4.1e-32  110.6   1.2   181   359   360   542   354   543 0.95 -
scaffold_559:15112-21507      -            645 21465at71240         -            659  5.2e-101  338.2  14.0   4   4     2e-27   4.5e-26   90.6   0.0   188   317   511   640   509   644 0.97 -
scaffold_10:706993-708492     -            500 21465at71240         -            659  7.5e-101  337.7  17.9   1   5   1.2e-20   2.7e-19   68.2   0.1   503   634     8   140     4   141 0.94 -
scaffold_10:706993-708492     -            500 21465at71240         -            659  7.5e-101  337.7  17.9   2   5   2.3e-25   5.2e-24   83.8   0.3   192   319   110   237   109   243 0.97 -
scaffold_10:706993-708492     -            500 21465at71240         -            659  7.5e-101  337.7  17.9   3   5     3e-24   6.7e-23   80.1   0.4   509   643   189   324   187   324 0.95 -
scaffold_10:706993-708492     -            500 21465at71240         -            659  7.5e-101  337.7  17.9   4   5   1.8e-24     4e-23   80.9   0.5   179   320   233   378   231   384 0.93 -
scaffold_10:706993-708492     -            500 21465at71240         -            659  7.5e-101  337.7  17.9   5   5   7.1e-20   1.6e-18   65.7   0.1   187   301   385   499   379   500 0.97 -
scaffold_7:2360379-2358691    -            563 21465at71240         -            659  7.7e-101  337.7  22.7   1   5     2e-29   4.4e-28   97.3   1.7   188   358    19   189     5   192 0.95 -
scaffold_7:2360379-2358691    -            563 21465at71240         -            659  7.7e-101  337.7  22.7   2   5   2.9e-15   6.5e-14   50.4   0.2   557   643   150   237   147   237 0.91 -
scaffold_7:2360379-2358691    -            563 21465at71240         -            659  7.7e-101  337.7  22.7   3   5     3e-23   6.7e-22   76.8   0.3   510   639   243   373   243   373 0.93 -
scaffold_7:2360379-2358691    -            563 21465at71240         -            659  7.7e-101  337.7  22.7   4   5   7.3e-30   1.6e-28   98.7   0.1   178   318   355   499   354   503 0.94 -
scaffold_7:2360379-2358691    -            563 21465at71240         -            659  7.7e-101  337.7  22.7   5   5     5e-18   1.1e-16   59.6   0.3   527   617   471   561   468   563 0.91 -
scaffold_7:9594848-9593322    -            509 21465at71240         -            659  1.5e-100  336.7   8.7   1   5   5.2e-22   1.1e-20   72.8   0.1   210   378     3   171     1   175 0.91 -
scaffold_7:9594848-9593322    -            509 21465at71240         -            659  1.5e-100  336.7   8.7   2   5   5.4e-23   1.2e-21   76.0   0.3   179   316   178   318   169   319 0.93 -
scaffold_7:9594848-9593322    -            509 21465at71240         -            659  1.5e-100  336.7   8.7   3   5   3.6e-24     8e-23   79.9   0.1   188   317   225   354   221   355 0.97 -
scaffold_7:9594848-9593322    -            509 21465at71240         -            659  1.5e-100  336.7   8.7   4   5   6.4e-28   1.4e-26   92.3   0.0   188   343   295   450   293   450 0.99 -
scaffold_7:9594848-9593322    -            509 21465at71240         -            659  1.5e-100  336.7   8.7   5   5   1.2e-14   2.6e-13   48.4   0.0   566   639   436   509   432   509 0.72 -
scaffold_7:3496716-3495028    -            563 21465at71240         -            659  1.9e-100  336.3  17.1   1   5   1.5e-18   3.4e-17   61.3   0.6   198   318    48   169    24   172 0.84 -
scaffold_7:3496716-3495028    -            563 21465at71240         -            659  1.9e-100  336.3  17.1   2   5   8.8e-28     2e-26   91.8   0.2   516   639   164   289   162   289 0.93 -
scaffold_7:3496716-3495028    -            563 21465at71240         -            659  1.9e-100  336.3  17.1   3   5   8.6e-23   1.9e-21   75.3   0.1   526   633   281   388   275   388 0.97 -
scaffold_7:3496716-3495028    -            563 21465at71240         -            659  1.9e-100  336.3  17.1   4   5   4.9e-27   1.1e-25   89.3   0.2   508   639   367   499   365   499 0.94 -
scaffold_7:3496716-3495028    -            563 21465at71240         -            659  1.9e-100  336.3  17.1   5   5     5e-18   1.1e-16   59.6   0.1   188   287   460   559   460   563 0.74 -
scaffold_5:12653496-12651676  -            607 21465at71240         -            659   6.7e-99  331.3  16.0   1   5   4.2e-09   9.2e-08   30.1   0.4   260   358   142   240   138   243 0.73 -
scaffold_5:12653496-12651676  -            607 21465at71240         -            659   6.7e-99  331.3  16.0   2   5   6.9e-25   1.5e-23   82.2   1.2   180   317   202   339   198   349 0.95 -
scaffold_5:12653496-12651676  -            607 21465at71240         -            659   6.7e-99  331.3  16.0   3   5   1.9e-34   4.2e-33  113.8   0.4   188   373   245   430   243   437 0.96 -
scaffold_5:12653496-12651676  -            607 21465at71240         -            659   6.7e-99  331.3  16.0   4   5   3.5e-31   7.8e-30  103.0   0.1   188   374   350   536   342   540 0.97 -
scaffold_5:12653496-12651676  -            607 21465at71240         -            659   6.7e-99  331.3  16.0   5   5   1.5e-12   3.4e-11   41.4   0.0   187   270   524   607   523   607 0.98 -
scaffold_7:2373683-2372022    -            554 21465at71240         -            659   1.1e-98  330.6  11.7   1   4   1.7e-25   3.7e-24   84.3   1.1   501   641     6   147     1   149 0.57 -
scaffold_7:2373683-2372022    -            554 21465at71240         -            659   1.1e-98  330.6  11.7   2   4   6.1e-25   1.4e-23   82.4   0.1   187   309   140   262   136   263 0.98 -
scaffold_7:2373683-2372022    -            554 21465at71240         -            659   1.1e-98  330.6  11.7   3   4   2.3e-33   5.2e-32  110.2   0.2   189   358   247   416   246   420 0.98 -
scaffold_7:2373683-2372022    -            554 21465at71240         -            659   1.1e-98  330.6  11.7   4   4   1.5e-23   3.4e-22   77.8   0.1   187   314   420   547   418   553 0.95 -
scaffold_4:27623771-27625486  -            572 21465at71240         -            659   5.4e-98  328.3  19.7   1   5   9.2e-17     2e-15   55.4   0.0   530   636     3   109     1   112 0.97 -
scaffold_4:27623771-27625486  -            572 21465at71240         -            659   5.4e-98  328.3  19.7   2   5   9.3e-23   2.1e-21   75.2   0.2   534   643   112   221   109   223 0.96 -
